               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.034112,            0.013769,           0.0076157,             0.83967,              0.4573,             0.50605,              0.4249,            0.041567,           0.0068238,           0.0050433,           0.0093268,           0.0093268,           0.0093268
                  36,            0.033731,            0.013708,           0.0077619,             0.90833,             0.44517,             0.52072,             0.40221,            0.044751,           0.0073252,           0.0050528,            0.009307,            0.009307,            0.009307
                  37,            0.034017,            0.013427,           0.0075063,             0.80275,              0.4812,             0.51577,             0.41689,            0.040158,           0.0064507,           0.0057275,           0.0092872,           0.0092872,           0.0092872
                  38,            0.033666,            0.013519,           0.0077858,             0.80253,             0.46865,               0.498,             0.39718,              0.0424,            0.006512,           0.0063204,           0.0092674,           0.0092674,           0.0092674
                  39,            0.033065,            0.013053,           0.0079302,             0.83695,             0.45723,             0.52169,             0.40779,            0.041575,           0.0070133,           0.0052874,           0.0092476,           0.0092476,           0.0092476
                  40,            0.033969,            0.013132,           0.0075178,             0.85576,             0.47442,             0.52114,              0.4003,            0.041064,            0.007002,           0.0043472,           0.0092278,           0.0092278,           0.0092278
                  41,            0.033205,            0.013516,           0.0074156,              0.8933,             0.45051,             0.53197,             0.40401,            0.041746,           0.0066532,           0.0048455,            0.009208,            0.009208,            0.009208
                  42,            0.033693,            0.013426,           0.0071595,             0.86252,             0.44341,              0.4913,             0.38756,            0.044544,           0.0078893,           0.0052412,           0.0091882,           0.0091882,           0.0091882
                  43,            0.033993,            0.013693,           0.0078284,             0.81908,             0.45598,             0.49719,             0.37097,            0.044683,           0.0077499,           0.0055818,           0.0091684,           0.0091684,           0.0091684
                  44,            0.032904,            0.013741,           0.0072222,             0.87929,              0.4649,             0.51978,             0.40849,              0.0426,           0.0070933,           0.0046545,           0.0091486,           0.0091486,           0.0091486
                  45,            0.032244,            0.012626,           0.0066441,             0.85923,             0.49933,             0.54117,             0.42229,            0.041542,            0.006114,           0.0039256,           0.0091288,           0.0091288,           0.0091288
                  46,            0.032814,            0.013052,           0.0071383,             0.83764,             0.48537,             0.52237,             0.39765,            0.043236,           0.0066095,           0.0060047,            0.009109,            0.009109,            0.009109
                  47,            0.033365,            0.012788,           0.0067213,             0.87085,             0.50041,             0.55073,             0.42566,            0.040199,           0.0065951,           0.0040655,           0.0090892,           0.0090892,           0.0090892
                  48,            0.033346,            0.012367,           0.0069299,             0.86844,             0.50553,              0.5537,             0.43027,            0.040057,           0.0061658,             0.00409,           0.0090694,           0.0090694,           0.0090694
                  49,            0.032542,            0.012925,           0.0068804,             0.74694,             0.42449,             0.44448,             0.35703,            0.047128,           0.0073219,           0.0079989,           0.0090496,           0.0090496,           0.0090496
